hanzi_simplified,hanzi_traditional,pinyin,english_meanings,hsk_levels,pos,frequency_rank,character_count,length_bucket,example_zh,example_en
近,近,jìn,near; close to; approximately,"newest-2, new-2, old-2","a, v",822,1,1-char,这个很近。,This is very near.
病,病,bìng,illness; disease; to fall ill; defect,"newest-1, new-1","n, v",827,1,1-char,这是病。,This is an illness.
金,金,Jīn,surname Jin; surname Kim (Korean); Jurchen Jin dynasty (1115-1234),new-3,"b, g, nr, tg",828,1,1-char,我在学习“金”。,I'm learning '金'.
收,收,shōu,to receive; to accept; to collect; to put away; to restrain; to stop; in care of (used on address line after name),"newest-3, new-2, old-4",v,834,1,1-char,我每天都收。,I to receive every day.
项,項,Xiàng,surname Xiang,"newest-4, new-4, old-5",q,837,1,1-char,我在学习“项”。,I'm learning '项'.
底,底,de,(equivalent to 的 as possessive particle),"newest-4, new-4, old-4","f, n",849,1,1-char,我在学习“底”。,I'm learning '底'.
力,力,Lì,surname Li,"newest-5, new-3","n, g",851,1,1-char,这是力。,This is a surname Li.
数,數,shǔ,to count; to count as; to regard as; to enumerate; to list,"newest-4, new-2, old-6","m, n, v",852,1,1-char,我有三数。,I have three to count.
忙,忙,máng,busy; hurriedly; to hurry; to rush,"newest-1, new-1, old-2","v, a, ad, g, an",859,1,1-char,我每天都忙。,I busy every day.
谈,談,Tán,surname Tan,"newest-4, new-3, old-4","v, g",862,1,1-char,我每天都谈。,I surname Tan every day.
十,十,shí,ten; 10,"newest-1, new-1, old-1","m, t",865,1,1-char,我有三十。,I have three ten.
城,城,chéng,city walls; city; town,"newest-4, new-3",n,892,1,1-char,这是城。,This is a city walls.
哭,哭,kū,to cry; to weep,"newest-3, new-2, old-3",v,898,1,1-char,我每天都哭。,I to cry; to weep every day.
怕,怕,Pà,surname Pa,"newest-3, new-2",v,899,1,1-char,我每天都怕。,I surname Pa every day.
敢,敢,gǎn,to dare; daring; (polite) may I venture,"newest-4, new-3, old-3","v, g",902,1,1-char,我每天都敢。,I to dare every day.
离,离,chī,mythical beast (archaic),"newest-2, new-2, old-2","v, p",912,1,1-char,我每天都离。,I mythical beast every day.
字,字,zì,letter; symbol; character; word; courtesy or style name traditionally given to males aged 20 in dynastic China,"newest-1, new-1, old-1",n,913,1,1-char,这是字。,This is a letter.
某,某,mǒu,some; a certain; sb or sth indefinite; such-and-such,"newest-5, new-3, old-5",r,913,1,1-char,我在学习“某”。,I'm learning '某'.
梦,夢,mèng,dream; (bound form) to dream,"newest-4, new-4, old-4","n, g",913,1,1-char,这是梦。,This is a dream.
支,支,Zhī,surname Zhi,"newest-5, new-3, old-5","q, v",915,1,1-char,我在学习“支”。,I'm learning '支'.
随,隨,Suí,surname Sui,"newest-5, new-3","p, v, g",915,1,1-char,我随家来。,I come surname Sui home.
提,提,dī,used in 防 and 溜,"newest-4, new-2, old-5",v,919,1,1-char,我每天都提。,I used in 防 and 溜 every day.
度,度,dù,"to pass; to spend (time); measure; limit; extent; degree of intensity; degree (angles, temperature etc); kilowatt-hour; classifier for events and occurrences","newest-5, new-2","qv, v, g",925,1,1-char,我在学习“度”。,I'm learning '度'.
白,白,Bái,surname Bai,"newest-5, new-1, old-2","a, nr, d, b, v, g",930,1,1-char,这个很白。,This is very surname Bai.
单,單,Shàn,surname Shan,"newest-5, new-4","d, b, g",931,1,1-char,他单来。,He comes surname Shan.
热,熱,rè,to warm up; to heat up; hot (of weather); heat; fervent,"newest-1, new-1, old-1","a, n, k, v, ad, an",938,1,1-char,这个很热。,This is very to warm up.
试,試,shì,to test; to try; experiment; examination; test,"newest-3, new-1, old-4","v, vn",938,1,1-char,我每天都试。,I to test every day.
感,感,gǎn,to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~,"newest-4, new-7",g,939,1,1-char,我在学习“感”。,I'm learning '感'.
至,至,zhì,to arrive; most; to; until,"newest-5, new-5","p, v, g",941,1,1-char,我至家来。,I come to arrive home.
非,非,Fēi,"abbr. for 洲, Africa","newest-7, new-4, old-5",b,949,1,1-char,我在学习“非”。,I'm learning '非'.
低,低,dī,low; beneath; to lower (one's head); to let droop; to hang down; to incline,"newest-4, new-2, old-3","a, ad, v",951,1,1-char,这个很低。,This is very low.
弄,弄,lòng,lane; alley,"newest-4, new-2, old-4",v,952,1,1-char,我每天都弄。,I lane every day.
赢,贏,yíng,to beat; to win; to profit,"newest-4, new-3, old-4",v,952,1,1-char,我每天都赢。,I to beat every day.
票,票,piào,"ticket; ballot; banknote; person held for ransom; amateur performance of Chinese opera; classifier for groups, batches, business transactions","newest-2, new-1, old-2","n, q",956,1,1-char,这是票。,This is a ticket.
西,西,Xī,the West; abbr. for Spain 牙; Spanish,"newest-3, new-1, old-3","f, b",958,1,1-char,我在学习“西”。,I'm learning '西'.
床,床,chuáng,bed; couch; classifier for beds,"newest-2, new-1","n, q",961,1,1-char,这是床。,This is a bed.
满,滿,Mǎn,Manchu ethnic group,"newest-4, new-2, old-4","a, v, d, b",961,1,1-char,这个很满。,This is very Manchu ethnic group.
第,第,dì,"(prefix indicating ordinal number, as in 六 ""sixth""); (literary) grades in which successful candidates in the imperial examinations were placed; (old) residence of a high official; (literary) but; however; (literary) only; just","newest-1, new-1",m,962,1,1-char,我有三第。,I have three item.
则,則,zé,(literary) (conjunction used to express contrast with a previous clause) but; then; (bound form) standard; norm; (bound form) principle; (literary) to imitate; to follow; classifier for written items,"newest-6, new-7, old-5","d, c, q, g",966,1,1-char,他则来。,He comes but; then.
情,情,qíng,feeling; emotion; passion; situation,new-7,"n, g",966,1,1-char,这是情。,This is a feeling.
报,報,bào,to announce; to inform; report; newspaper; recompense; revenge,"newest-7, new-3","n, v",967,1,1-char,这是报。,This is a to announce.
差,差,chā,difference; discrepancy; (math.) difference (amount remaining after a subtraction); (literary) a little; somewhat; slightly,"newest-3, new-1, old-3","a, v, g",968,1,1-char,这个很差。,This is very difference; discrepancy.
步,步,Bù,surname Bu,"newest-4, new-3","qv, n, v",972,1,1-char,我在学习“步”。,I'm learning '步'.
短,短,duǎn,short; brief; to lack; weak point; fault,"newest-3, new-2, old-3",a,983,1,1-char,这个很短。,This is very short.
教,教,Jiào,surname Jiao,"newest-2, new-1, old-3","v, g",988,1,1-char,我每天都教。,I surname Jiao every day.
啥,啥,shá,dialectal equivalent of 什么; also pr. [shà],old-6,r,990,1,1-char,我在学习“啥”。,I'm learning '啥'.
应,應,Yīng,surname Ying; Taiwan pr. [Yìng],"newest-7, new-4",v,999,1,1-char,我每天都应。,I surname Ying every day.
据,㨿,jù,variant of 据,"newest-5, new-6","p, g",1000,1,1-char,我据家来。,I come variant of 据 home.
查,查,Zhā,surname Zha,"newest-3, new-2",v,1010,1,1-char,我每天都查。,I surname Zha every day.
方,方,Fāng,surname Fang,"newest-5, new-4, old-5","q, d, g, a, f, b",1012,1,1-char,我在学习“方”。,I'm learning '方'.
读,讀,dòu,comma; phrase marked by pause,"newest-1, new-1, old-1",v,1013,1,1-char,我每天都读。,I comma every day.
深,㴱,shēn,old variant of 深,"newest-4, new-3, old-4","a, d, g, b",1014,1,1-char,这个很深。,This is very old variant of 深.
忘,忘,wàng,to forget; to overlook; to neglect,"newest-2, new-1",v,1015,1,1-char,我每天都忘。,I to forget every day.
清,清,Qīng,Qing (Wade-Giles: Ch'ing) dynasty of imperial China (1644-1911); surname Qing,"newest-6, new-6","a, v, tg",1019,1,1-char,这个很清。,This is very Qing  dynasty of imperial China.
各,各,gè,each; every,"newest-4, new-3, old-4",r,1022,1,1-char,我在学习“各”。,I'm learning '各'.
脚,腳,jiǎo,foot; leg (of an animal or an object); base (of an object); classifier for kicks,"newest-3, new-2, old-3","n, q",1024,1,1-char,这是脚。,This is a foot.
冷,冷,Lěng,surname Leng,"newest-1, new-1, old-1","a, ad, g",1027,1,1-char,这个很冷。,This is very surname Leng.
电,電,diàn,lightning; electricity; electric (bound form); to get (or give) an electric shock; phone call or telegram etc; to send via telephone or telegram etc,"newest-3, new-1",n,1027,1,1-char,这是电。,This is a lightning.
山,山,Shān,surname Shan,"newest-3, new-1",n,1030,1,1-char,这是山。,This is a surname Shan.
秒,秒,miǎo,second (unit of time); arc second (angular measurement unit); (coll.) instantly,"newest-4, new-5, old-5","t, qt",1034,1,1-char,我们秒见。,See you second.
王,王,Wáng,surname Wang,new-4,"n, nr",1039,1,1-char,这是王。,This is a surname Wang.
市,市,shì,market; city,"newest-3, new-2",n,1040,1,1-char,这是市。,This is a market.
亲,親,qīn,parent; one's own (flesh and blood); relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; (Internet slang) dear,"newest-5, new-3","v, a, ad, g",1044,1,1-char,我每天都亲。,I parent every day.
仍,仍,réng,still; yet; to remain; (literary) frequently; often,"newest-4, new-3",d,1050,1,1-char,他仍来。,He comes still; yet.
假,假,gēi,used in 掰,"newest-4, new-2, old-4","a, ad, n, g",1053,1,1-char,这个很假。,This is very used in 掰.
常,常,Cháng,surname Chang,"newest-3, new-1","d, nr",1057,1,1-char,他常来。,He comes surname Chang.
嘴,嘴,zuǐ,mouth; beak; nozzle; spout (of teapot etc),"newest-3, new-2, old-4",n,1059,1,1-char,这是嘴。,This is a mouth.
轮,輪,lún,"wheel; disk; ring; steamship; to take turns; to rotate; classifier for big round objects: disk, or recurring events: round, turn","newest-6, new-4","qv, g, v",1066,1,1-char,我在学习“轮”。,I'm learning '轮'.
改,改,gǎi,to change; to alter; to transform; to correct,"newest-4, new-2",v,1070,1,1-char,我每天都改。,I to change every day.
投,投,tóu,to cast; to send; to throw oneself (into the river etc); to seek refuge; to place oneself into the hands of,"newest-5, new-4",v,1081,1,1-char,我每天都投。,I to cast every day.
省,省,shěng,to save; to economize; to be frugal; to omit; to delete; to leave out; province; provincial capital; a ministry (of the Japanese government),"newest-4, new-2, old-4","n, v",1081,1,1-char,这是省。,This is a to save; to economize; to be frugal.
夜,亱,yè,variant of 夜,"newest-4, new-2, old-5","tg, qt",1082,1,1-char,我们夜见。,See you variant of 夜.
海,海,Hǎi,surname Hai,"newest-3, new-2","n, nr",1082,1,1-char,这是海。,This is a surname Hai.
仅,僅,jǐn,barely; only; merely,"newest-4, new-3",d,1086,1,1-char,他仅来。,He comes barely.
陪,陪,péi,to accompany; to keep sb company; to assist; old variant of 赔,"newest-4, new-5, old-4",v,1090,1,1-char,我每天都陪。,I to accompany every day.
挂,掛,guà,to hang or suspend (from a hook etc); to hang up (the phone); (of a line) to be dead; to be worried or concerned; to make a phone call (dialect); to register or record; classifier for sets or clusters of objects; (slang) to kill; to die; to be finished; to fail (an exam),"newest-4, new-3, old-4","v, q",1092,1,1-char,我每天都挂。,I to hang or suspend every day.
类,類,lèi,kind; type; class; category; similar; like; to resemble,"newest-5, new-3, old-5","q, n, g",1096,1,1-char,我在学习“类”。,I'm learning '类'.
跳,跳,tiào,to jump; to hop; to skip over; to bounce; to palpitate,"newest-3, new-3","v, vn, q",1099,1,1-char,我每天都跳。,I to jump every day.
称,稱,chèn,to fit; balanced; suitable,"newest-5, new-2","v, g, vn",1100,1,1-char,我每天都称。,I to fit every day.
久,久,jiǔ,(long) time; (long) duration of time,"newest-3, new-3, old-3","a, g, ad",1103,1,1-char,这个很久。,This is very time.
画,畫,huà,to draw; to paint; picture; painting; to draw (a line) (variant of 划); stroke of a Chinese character (variant of 划); (calligraphy) horizontal stroke (variant of 划),"newest-2, new-2, old-3","n, v, q",1119,1,1-char,这是画。,This is a to draw; to paint.
逼,偪,bī,variant of 逼; to compel; to pressure,"newest-6, new-6",v,1122,1,1-char,我每天都逼。,I variant of 逼 every day.
记,記,jì,"to record; to note; to memorize; to remember; mark; sign; classifier for blows, kicks, shots","newest-3, new-1","v, g, q",1123,1,1-char,我每天都记。,I to record every day.
关,關,Guān,surname Guan,"newest-3, new-1, old-3","v, n, nr",1129,1,1-char,我每天都关。,I surname Guan every day.
哥,哥,gē,elder brother,new-1,n,1132,1,1-char,这是哥。,This is an elder brother.
爸,爸,bà,father; dad; pa; papa,new-1,n,1142,1,1-char,这是爸。,This is a father.
牛,牛,Niú,surname Niu,"newest-3, new-3","n, g, nr",1148,1,1-char,这是牛。,This is a surname Niu.
猫,貓,māo,cat; (dialect) to hide oneself; (coll.) modem,"newest-1, new-2, old-1","n, v",1150,1,1-char,这是猫。,This is a cat.
风,風,fēng,wind; news; style; custom; manner,"newest-3, new-1","n, g",1150,1,1-char,这是风。,This is a wind.
通,通,tōng,"to go through; to know well; (suffix) expert; to connect; to communicate; open; to clear; classifier for letters, telegrams, phone calls etc","newest-4, new-2","v, a, qv",1155,1,1-char,我每天都通。,I to go through every day.
照,炤,zhào,variant of 照; to shine; to illuminate,"newest-3, new-3","v, p, g, d",1165,1,1-char,我每天都照。,I variant of 照 every day.
群,羣,qún,variant of 群,"newest-5, new-3, old-4","q, g",1165,1,1-char,我在学习“群”。,I'm learning '群'.
够,夠,gòu,enough (sufficient); enough (too much); (coll.) (before adj.) really; (coll.) to reach by stretching out,"newest-4, new-2, old-4","v, d",1173,1,1-char,我每天都够。,I enough every day.
德,德,Dé,Germany; German; abbr. for 德国,new-7,"n, b",1174,1,1-char,这是德。,This is a Germany.
原,原,Yuán,surname Yuan; (Japanese surname) Hara,"newest-5, new-6","b, d",1178,1,1-char,我在学习“原”。,I'm learning '原'.
根,根,gēn,"root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; radical (chemistry)","newest-5, new-4, old-5","q, n",1181,1,1-char,我在学习“根”。,I'm learning '根'.
火,火,Huǒ,surname Huo,"newest-4, new-3, old-4","n, a, v",1181,1,1-char,这是火。,This is a surname Huo.
赛,賽,sài,to compete; competition; match; to surpass; better than; superior to; to excel,"newest-7, new-6","vn, v",1181,1,1-char,我每天都赛。,I to compete every day.
排,排,pái,"a row; a line; to set in order; to arrange; to line up; to eliminate; to drain; to push open; platoon; raft; classifier for lines, rows etc","newest-4, new-2","v, q, n",1188,1,1-char,我每天都排。,I a row every day.
鱼,魚,Yú,surname Yu,"newest-2, new-2, old-2",n,1189,1,1-char,这是鱼。,This is a surname Yu.
集,集,jí,to gather; to collect; collected works; classifier for sections of a TV series etc: episode,"newest-5, new-6","q, g",1190,1,1-char,我在学习“集”。,I'm learning '集'.
抢,搶,qiāng,(literary) to knock against (esp. to knock one's head on the ground in grief or rage); opposite in direction; contrary,"newest-5, new-5, old-5",v,1191,1,1-char,我每天都抢。,I to knock against every day.
节,節,jiē,see 节骨眼,"newest-3, new-2, old-5","n, q, g, v",1196,1,1-char,这是节。,This is a see 节骨眼.
傻,傻,shǎ,foolish,"newest-5, new-5, old-5","a, an",1197,1,1-char,这个很傻。,This is very foolish.
祝,祝,Zhù,surname Zhu,"newest-4, new-3, old-3","v, nr",1197,1,1-char,我每天都祝。,I surname Zhu every day.
累,累,lěi,to accumulate; to involve or implicate (Taiwan pr. [lèi]); continuous; repeated,"newest-2, new-1, old-2","a, v, an",1197,1,1-char,这个很累。,This is very to accumulate.
取,取,qǔ,to take; to get; to choose; to fetch,"newest-4, new-2, old-4",v,1198,1,1-char,我每天都取。,I to take every day.
权,權,Quán,surname Quan,"newest-5, new-6",n,1198,1,1-char,这是权。,This is a surname Quan.
层,層,céng,to pile on top of one another; layer; stratum; floor (of a building); story; (math.) sheaf; classifier for layers,"newest-3, new-2, old-3","qv, n",1202,1,1-char,我在学习“层”。,I'm learning '层'.
乱,亂,luàn,in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary,"newest-4, new-3, old-4","d, a, v",1206,1,1-char,他乱来。,He comes in confusion or disorder.
待,待,dāi,to stay,"newest-4, new-5","v, p",1207,1,1-char,我每天都待。,I to stay every day.
肉,肉,ròu,meat; flesh; pulp (of a fruit); (coll.) (of a fruit) squashy; (of a person) flabby; irresolute; Kangxi radical 130,"newest-2, new-1",n,1215,1,1-char,这是肉。,This is a meat.
腿,腿,tuǐ,leg,"newest-3, new-2, old-3",n,1216,1,1-char,这是腿。,This is a leg.
救,捄,jiù,variant of 救,"newest-5, new-3, old-5","v, vn",1217,1,1-char,我每天都救。,I variant of 救 every day.
共,共,gòng,"common; general; to share; together; total; altogether; abbr. for 共产党, Communist party","newest-4, new-4","d, g, b",1227,1,1-char,他共来。,He comes common.
尽,儘,jǐn,to the greatest extent; (when used before a noun of location) furthest or extreme; to be within the limits of; to give priority to,"newest-6, new-6","v, d",1228,1,1-char,我每天都尽。,I to the greatest extent every day.
棒,棒,bàng,stick; club; cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race,"newest-4, new-5, old-5","a, g, q",1228,1,1-char,这个很棒。,This is very stick.
图,圖,tú,diagram; picture; drawing; chart; map; to plan; to scheme; to attempt; to pursue; to seek,"newest-4, new-3","n, v",1231,1,1-char,这是图。,This is a diagram.
街,街,jiē,street,"newest-3, new-2",n,1234,1,1-char,这是街。,This is a street.
抱,抱,bào,to hold; to carry (in one's arms); to hug; to embrace; to surround; to cherish; (coll.) (of clothes) to fit nicely,"newest-4, new-4, old-4",v,1238,1,1-char,我每天都抱。,I to hold every day.
班,班,Bān,surname Ban,"newest-2, new-1, old-3","n, q, nr",1238,1,1-char,这是班。,This is a surname Ban.
利,利,Lì,surname Li,new-6,"n, g",1239,1,1-char,这是利。,This is a surname Li.
坏,壞,huài,bad; spoiled; broken; to break down; (suffix) to the utmost,"newest-2, new-1, old-3","a, v",1239,1,1-char,这个很坏。,This is very bad.
笔,筆,bǐ,"pen; pencil; writing brush; to write or compose; the strokes of Chinese characters; classifier for sums of money, deals","newest-2, new-2","q, n",1245,1,1-char,我在学习“笔”。,I'm learning '笔'.
鞋,鞋,xié,shoe,"newest-3, new-2, old-3",n,1249,1,1-char,这是鞋。,This is a shoe.
痛,痛,tòng,ache; pain; sorrow; deeply; thoroughly,"newest-4, new-3","a, g, an",1254,1,1-char,这个很痛。,This is very ache.
追,追,duī,to sculpt; to carve; musical instrument (old),"newest-5, new-3",v,1265,1,1-char,我每天都追。,I to sculpt every day.
破,破,pò,"broken; damaged; worn out; lousy; rotten; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of","newest-4, new-3, old-4","v, a",1272,1,1-char,我每天都破。,I broken every day.
推,推,tuī,to push; to cut; to refuse; to reject; to decline; to shirk (responsibility); to put off; to delay; to push forward; to nominate; to elect; massage,"newest-4, new-2, old-4",v,1277,1,1-char,我每天都推。,I to push every day.
刀,刀,Dāo,surname Dao,"newest-4, new-3, old-4","n, q",1285,1,1-char,这是刀。,This is a surname Dao.
反,反,fǎn,contrary; in reverse; inside out or upside down; to reverse; to return; to oppose; opposite; against; anti-; to rebel; to use analogy; instead; abbr. for 切 phonetic system,"newest-5, new-4","v, b, d",1290,1,1-char,我每天都反。,I contrary every day.
油,油,yóu,"oil; fat; grease; petroleum; to apply tung oil, paint or varnish; oily; greasy; glib; cunning","newest-4, new-2",n,1290,1,1-char,这是油。,This is an oil.
传,傳,chuán,to pass on; to spread; to transmit; to infect; to transfer; to circulate; to conduct (electricity),"newest-5, new-3","v, g, vn",1294,1,1-char,我每天都传。,I to pass on every day.
洗,洗,xǐ,to wash; to bathe; to develop (photographs); to shuffle (cards etc); to erase (a recording),"newest-2, new-1, old-2",v,1298,1,1-char,我每天都洗。,I to wash; to bathe every day.
喂,喂,wéi,hello (when answering the phone),"newest-1, new-2, old-1","v, e",1301,1,1-char,我每天都喂。,I hello every day.
冲,沖,chōng,(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with,"newest-5, new-4, old-5",v,1312,1,1-char,我每天都冲。,I to dash against every day.
整,整,zhěng,exactly; in good order; whole; complete; entire; in order; orderly; to repair; to mend; to renovate; (coll.) to fix sb; to give sb a hard time; to mess with sb,"newest-4, new-3","m, v, a",1315,1,1-char,我有三整。,I have three exactly.
毛,毛,Máo,surname Mao,"newest-3, new-1, old-5","nr, n, q",1319,1,1-char,这是毛。,This is a surname Mao.
朝,朝,Cháo,abbr. for 朝鲜 Korea,"newest-5, new-3, old-5","p, tg, b, v, q",1321,1,1-char,我朝家来。,I come abbr. for 朝鲜 Korea home.
值,值,zhí,value; (to be) worth; to happen to; to be on duty,"newest-4, new-3","v, n, a",1322,1,1-char,我每天都值。,I value every day.
副,副,fù,"secondary; auxiliary; deputy; assistant; vice-; abbr. for 副词 adverb; classifier for pairs, sets of things & facial expressions","newest-5, new-6, old-6","b, q",1325,1,1-char,我在学习“副”。,I'm learning '副'.
怪,怪,guài,bewildering; odd; strange; uncanny; devil; monster; to wonder at; to blame; quite; rather,"newest-5, new-4","v, a, d",1329,1,1-char,我每天都怪。,I bewildering every day.
流,流,liú,"to flow; to disseminate; to circulate or spread; to move or drift; to degenerate; to banish or send into exile; stream of water or sth resembling one; class, rate or grade","newest-4, new-2","v, g",1337,1,1-char,我每天都流。,I to flow every day.
表,表,biǎo,exterior surface; family relationship via females; to show (one's opinion); a model; a table (listing information); a form; a meter (measuring sth),"newest-4, new-2","n, g",1344,1,1-char,这是表。,This is an exterior surface.
空,空,kōng,empty; air; sky; in vain,"newest-4, new-3","a, v, g, d",1345,1,1-char,这个很空。,This is very empty.
养,養,yǎng,to raise (animals); to bring up (children); to keep (pets); to support; to give birth,"newest-3, new-2",v,1346,1,1-char,我每天都养。,I to raise every day.
船,舩,chuán,variant of 船,"newest-3, new-2, old-2",n,1346,1,1-char,这是船。,This is a variant of 船.
若,若,ruò,to seem; like; as; if,"newest-7, new-6","c, v, g",1349,1,1-char,我在学习“若”。,I'm learning '若'.
鸡,雞,jī,fowl; chicken; (slang) prostitute,"newest-3, new-2",n,1356,1,1-char,这是鸡。,This is a fowl.
遍,徧,biàn,variant of 遍,"newest-3, new-2, old-4","qv, v, d, a",1358,1,1-char,我在学习“遍”。,I'm learning '遍'.
型,型,xíng,mold; type; style; model,new-4,"k, g, n",1361,1,1-char,我在学习“型”。,I'm learning '型'.
八,八,bā,eight; 8,"newest-1, new-1, old-1","m, t",1362,1,1-char,我有三八。,I have three eight; 8.
盘,盤,pán,"plate; dish; tray; board; hard drive (computing); to build; to coil; to check; to examine; to transfer (property); to make over; classifier for food: dish, helping; to coil; classifier for coils of wire; classifier for games of chess","newest-6, new-4","qv, g, v",1363,1,1-char,我在学习“盘”。,I'm learning '盘'.
瓶,瓶,píng,bottle; vase; pitcher; classifier for wine and liquids,new-2,"q, n",1373,1,1-char,我在学习“瓶”。,I'm learning '瓶'.
架,架,jià,"to support; frame; rack; framework; classifier for planes, large vehicles, radios etc","newest-5, new-3","qv, v, g",1375,1,1-char,我在学习“架”。,I'm learning '架'.
翻,翻,fān,to turn over; to flip over; to overturn; to rummage through; to translate; to decode; to double; to climb over or into; to cross,"newest-5, new-4, old-5",v,1378,1,1-char,我每天都翻。,I to turn over every day.
室,室,Shì,surname Shi,"newest-3, new-3",n,1382,1,1-char,这是室。,This is a surname Shi.
左,左,Zuǒ,surname Zuo,"newest-2, new-1","f, a",1382,1,1-char,我在学习“左”。,I'm learning '左'.
嗯,嗯,ēn,(a groaning sound),"newest-4, old-6",e,1390,1,1-char,我在学习“嗯”。,I'm learning '嗯'.
文,文,Wén,surname Wen,"newest-7, new-7","g, v",1391,1,1-char,我在学习“文”。,I'm learning '文'.
颗,顆,kē,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc","newest-5, new-5, old-5",q,1392,1,1-char,我在学习“颗”。,I'm learning '颗'.
倍,倍,bèi,"(two, three etc) -fold; times (multiplier); double; to increase or multiply","newest-4, new-4, old-4","q, d",1396,1,1-char,我在学习“倍”。,I'm learning '倍'.
准,准,zhǔn,to allow; to grant; in accordance with; in the light of,"newest-4, new-3","a, d, h, v",1396,1,1-char,这个很准。,This is very to allow.
醒,醒,xǐng,to wake up; to be awake; to become aware; to sober up; to come to,"newest-4, new-4, old-4","v, g, vn",1399,1,1-char,我每天都醒。,I to wake up every day.
输,輸,shū,to lose; to be beaten; (bound form) to transport; (literary) to donate; to contribute; (coll.) to enter (a password),"newest-4, new-3, old-4",v,1403,1,1-char,我每天都输。,I to lose; to be beaten every day.
极,極,jí,"extremely; pole (geography, physics); utmost; top","newest-3, new-4, old-3","d, g",1404,1,1-char,他极来。,He comes extremely.
皮,皮,Pí,surname Pi,"newest-6, new-3","n, a",1409,1,1-char,这是皮。,This is a surname Pi.
经,經,Jīng,surname Jing,"newest-7, new-7","p, g, v",1410,1,1-char,我经家来。,I come surname Jing home.
系,係,xì,to connect; to relate to; to tie up; to bind; to be (literary),"newest-5, new-3, old-5","v, n",1415,1,1-char,我每天都系。,I to connect every day.
牌,牌,pái,mahjong tile; playing card; game pieces; signboard; plate; tablet; medal,"newest-4, new-4",n,1416,1,1-char,这是牌。,This is a mahjong tile.
七,七,qī,seven; 7,"newest-1, new-1, old-1","m, t",1419,1,1-char,我有三七。,I have three seven.
俩,倆,liǎ,two (colloquial equivalent of 两个); both; some,"newest-4, new-4, old-4",m,1419,1,1-char,我有三俩。,I have three two.
直,直,Zhí,"surname Zhi; Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 帝 descended from Shennong 神农 Farmer God","newest-5, new-3, old-5","d, a, v",1420,1,1-char,他直来。,He comes surname Zhi.
枪,槍,Qiāng,surname Qiang,"newest-6, new-5, old-5","n, q",1429,1,1-char,这是枪。,This is a surname Qiang.
落,落,là,to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind,"newest-4, new-4",v,1435,1,1-char,我每天都落。,I to leave out every day.
疯,瘋,fēng,insane; mad; wild,"newest-7, new-5",v,1448,1,1-char,我每天都疯。,I insane every day.
菜,菜,cài,dish (type of food); vegetable; cuisine; (coll.) (one's) type; (of one's skills etc) weak; poor,"newest-1, new-1, old-1",n,1448,1,1-char,这是菜。,This is a dish.
帅,帥,Shuài,surname Shuai,"newest-4, new-4, old-4","nr, g",1452,1,1-char,这是帅。,This is a surname Shuai.
级,級,jí,"level; grade; rank; step (of stairs); classifier: step, level","newest-5, new-2","q, n",1454,1,1-char,我在学习“级”。,I'm learning '级'.
代,代,dài,to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon,"newest-5, new-3","v, q, n",1458,1,1-char,我每天都代。,I to substitute every day.
式,式,shì,type; form; pattern; style,"newest-5, new-5","k, g",1463,1,1-char,我在学习“式”。,I'm learning '式'.
期,朞,qī,variant of 期; period; cycle,"newest-4, new-3","qv, g",1473,1,1-char,我在学习“期”。,I'm learning '期'.
饿,餓,è,to be hungry; hungry; to starve (sb),"newest-3, new-1, old-3","v, a",1477,1,1-char,我每天都饿。,I to be hungry every day.
右,右,yòu,(bound form) right; right-hand side; (bound form) (politics) right of center; (bound form) (old) west; (literary) the right side as the side of precedence,"newest-2, new-1","f, a",1481,1,1-char,我在学习“右”。,I'm learning '右'.
树,樹,shù,tree; to cultivate; to set up,"newest-3, new-1, old-3","n, v",1481,1,1-char,这是树。,This is a tree.
调,調,diào,to transfer; to move (troops or cadres); to investigate; to enquire into; accent; view; argument; key (in music); mode (music); tune; tone; melody,"newest-5, new-3","v, n",1481,1,1-char,我每天都调。,I to transfer every day.
命,命,mìng,"life; fate; order or command; to assign a name, title etc","newest-5, new-6","n, g",1484,1,1-char,这是命。,This is a life.
呆,呆,dāi,foolish; stupid; expressionless; blank; to stay,"newest-6, new-5, old-5","v, a",1485,1,1-char,我每天都呆。,I foolish every day.
烧,燒,shāo,"to burn; to cook; to stew; to bake; to roast; to heat; to boil (tea, water etc); fever; to run a temperature; (coll.) to let things go to one's head","newest-5, new-4",v,1488,1,1-char,我每天都烧。,I to burn every day.
网,網,wǎng,net; network,"newest-6, new-2","n, v",1491,1,1-char,这是网。,This is a net.
