hanzi_simplified,hanzi_traditional,pinyin,english_meanings,hsk_levels,pos,frequency_rank,character_count,length_bucket,example_zh,example_en
不能不,不能不,bù néng bù,have to; cannot but,new-5,d,10279,3,3-char,他不能不来。,He comes have to.
洗衣机,洗衣機,xǐ yī jī,washing machine; washer,"newest-3, new-2, old-4",n,10344,3,3-char,这是洗衣机。,This is a washing machine; washer.
纳税人,納稅人,nà shuì rén,taxpayer,"newest-7, new-7",n,10351,3,3-char,这是纳税人。,This is a taxpayer.
游泳池,游泳池,yóu yǒng chí,swimming pool,new-5,n,10359,3,3-char,这是游泳池。,This is a swimming pool.
金字塔,金字塔,jīn zì tǎ,pyramid (building or structure),new-7,n,10388,3,3-char,这是金字塔。,This is a pyramid.
明信片,明信片,míng xìn piàn,postcard,old-5,n,10428,3,3-char,这是明信片。,This is a postcard.
照相机,照相機,zhào xiàng jī,camera,old-3,n,10452,3,3-char,这是照相机。,This is a camera.
养老金,養老金,yǎng lǎo jīn,pension,new-7,n,10458,3,3-char,这是养老金。,This is a pension.
看样子,看樣子,kàn yàng zi,it seems; it looks as if,new-7,v,10475,3,3-char,我每天都看样子。,I it seems every day.
不用说,不用說,bù yòng shuō,needless to say; it goes without saying,new-7,v,10490,3,3-char,我每天都不用说。,I needless to say; it goes without saying every day.
半决赛,半決賽,bàn jué sài,semifinals,new-6,n,10520,3,3-char,这是半决赛。,This is a semifinals.
创始人,創始人,chuàng shǐ rén,creator; founder; initiator,"newest-7, new-7",n,10526,3,3-char,这是创始人。,This is a creator.
体育场,體育場,tǐ yù chǎng,stadium,new-2,n,10575,3,3-char,这是体育场。,This is a stadium.
说明书,說明書,shuō míng shū,(technical) manual; (book of) directions; synopsis (of a play or film); specification (patent),"newest-4, new-6",n,10577,3,3-char,这是说明书。,This is a manual.
现代化,現代化,xiàn dài huà,modernization,"newest-5, new-3","vn, v",10626,3,3-char,我每天都现代化。,I modernization every day.
百分点,百分點,bǎi fēn diǎn,percentage point,"newest-6, new-6, old-6",n,10677,3,3-char,这是百分点。,This is a percentage point.
董事长,董事長,dǒng shì zhǎng,chairman of the board of directors,"newest-7, new-7, old-6",n,10696,3,3-char,这是董事长。,This is a chairman of the board of directors.
西红柿,西紅柿,xī hóng shì,tomato,"newest-4, new-5, old-4",n,10725,3,3-char,这是西红柿。,This is a tomato.
过日子,過日子,guò rì zi,to live one's life; to pass one's days; to get along,new-7,v,10739,3,3-char,我每天都过日子。,I to live one's life every day.
微波炉,微波爐,wēi bō lú,microwave oven,"newest-7, new-6",n,10818,3,3-char,这是微波炉。,This is a microwave oven.
重量级,重量級,zhòng liàng jí,heavyweight (boxing etc),"newest-7, new-7",b,10852,3,3-char,我在学习“重量级”。,I'm learning '重量级'.
动画片,動畫片,dòng huà piàn,animated film,"new-4, old-5",n,10899,3,3-char,这是动画片。,This is an animated film.
备忘录,備忘錄,bèi wàng lù,memorandum; aide-memoire; memorandum book,"newest-7, old-6",n,10931,3,3-char,这是备忘录。,This is a memorandum.
人行道,人行道,rén xíng dào,sidewalk,"newest-6, new-7",n,10935,3,3-char,这是人行道。,This is a sidewalk.
自来水,自來水,zì lái shuǐ,running water; tap water,"newest-6, new-6",n,11026,3,3-char,这是自来水。,This is a running water.
不如说,不如說,bùrú shuō,rather say,new-7,c,11028,3,3-char,我在学习“不如说”。,I'm learning '不如说'.
基督教,基督教,Jī dū jiào,Christianity; Christian,new-6,nz,11088,3,3-char,这是基督教。,This is a Christianity.
旅行社,旅行社,lǚ xíng shè,travel agency,"newest-5, new-3",n,11103,3,3-char,这是旅行社。,This is a travel agency.
有点儿,有點兒,yǒu diǎn r,slightly; a little; somewhat,"newest-1, new-2",,11175,3,3-char,我在学习“有点儿”。,I'm learning '有点儿'.
地铁站,地鐵站,dì tiě zhàn,subway station,new-2,n,11176,3,3-char,这是地铁站。,This is a subway station.
来源于,來源於,lái yuán yú,to originate in,new-7,v,11195,3,3-char,我每天都来源于。,I to originate in every day.
比不上,比不上,bǐ bù shàng,can't compare with,new-7,v,11223,3,3-char,我每天都比不上。,I can't compare with every day.
方向盘,方向盤,fāng xiàng pán,steering wheel,"newest-7, new-7",n,11228,3,3-char,这是方向盘。,This is a steering wheel.
恨不得,恨不得,hèn bu de,wishing one could do sth; to hate to be unable; itching to do sth,"newest-7, new-7, old-6",d,11273,3,3-char,他恨不得来。,He comes wishing one could do sth; to hate to be unable; itching to do sth.
青春期,青春期,qīng chūn qī,puberty; adolescence,"newest-6, new-7",t,11308,3,3-char,我们青春期见。,See you puberty.
没意思,沒意思,méi yì si,boring; of no interest,"newest-2, new-7",a,11321,3,3-char,这个很没意思。,This is very boring.
反过来,反過來,fǎn guo lái,conversely; in reverse order; in an opposite direction,new-7,d,11352,3,3-char,他反过来来。,He comes conversely.
没事儿,沒事兒,méi shì r,to have spare time; free from work; it's not important; it's nothing; never mind,new-1,v,11421,3,3-char,我每天都没事儿。,I to have spare time every day.
秘书长,秘書長,mì shū zhǎng,secretary-general,new-6,n,11446,3,3-char,这是秘书长。,This is a secretary-general.
一块儿,一塊兒,yī kuài r,erhua variant of 一块; a piece; a chunk; (coll.) one yuan; one dollar,"newest-3, new-1","d, s",11449,3,3-char,他一块儿来。,He comes erhua variant of 一块.
很难说,很難說,hěn nánshuō,Hard to say,new-6,v,11460,3,3-char,我每天都很难说。,I Hard to say every day.
大使馆,大使館,dà shǐ guǎn,embassy,"new-3, old-4",n,11530,3,3-char,这是大使馆。,This is an embassy.
大家庭,大家庭,dà jiā tíng,extended family; big family; harmonious group,new-7,n,11562,3,3-char,这是大家庭。,This is an extended family.
高血压,高血壓,gāo xuè yā,high blood pressure; hypertension,"newest-7, new-7",n,11570,3,3-char,这是高血压。,This is a high blood pressure.
显示器,顯示器,xiǎn shì qì,monitor (computer),"newest-7, new-7",n,11588,3,3-char,这是显示器。,This is a monitor.
感兴趣,感興趣,gǎn xìng qù,to be interested,"newest-3, new-4",a,11617,3,3-char,这个很感兴趣。,This is very to be interested.
不经意,不經意,bù jīng yì,not paying attention; carelessly; by accident,"newest-7, new-7","a, ad",11628,3,3-char,这个很不经意。,This is very not paying attention.
得益于,得益於,dé yì yú,to benefit from; thanks to,new-7,,11657,3,3-char,我在学习“得益于”。,I'm learning '得益于'.
兴奋剂,興奮劑,xīng fèn jì,stimulant; doping (in athletics),"newest-7, new-7",n,11692,3,3-char,这是兴奋剂。,This is a stimulant.
运动会,運動會,yùn dòng huì,sports competition,"newest-3, new-4",n,11698,3,3-char,这是运动会。,This is a sports competition.
手术室,手術室,shǒu shù shì,operating room,new-7,n,11730,3,3-char,这是手术室。,This is an operating room.
全方位,全方位,quán fāng wèi,all around; omnidirectional; complete; holistic; comprehensive,"newest-7, new-7",n,11781,3,3-char,这是全方位。,This is an all around.
办事处,辦事處,bàn shì chù,office; agency,"newest-7, new-6",n,11821,3,3-char,这是办事处。,This is an office.
一连串,一連串,yī lián chuàn,a succession of; a series of,"newest-7, new-7","l, n",11835,3,3-char,我在学习“一连串”。,I'm learning '一连串'.
建筑师,建築師,jiàn zhù shī,architect,new-7,n,11925,3,3-char,这是建筑师。,This is an architect.
垃圾桶,垃圾桶,lā jī tǒng,rubbish bin; trash can; garbage can; Taiwan pr. [lè sè tǒng],old-4,n,11938,3,3-char,这是垃圾桶。,This is a rubbish bin.
夜总会,夜總會,yè zǒng huì,nightclub; nightspot,new-7,n,11951,3,3-char,这是夜总会。,This is a nightclub.
小提琴,小提琴,xiǎo tí qín,fiddle; violin,"newest-7, new-7",n,12077,3,3-char,这是小提琴。,This is a fiddle.
前不久,前不久,qián bù jiǔ,not long ago; not long before,new-7,t,12096,3,3-char,我们前不久见。,See you not long ago.
塑料袋,塑料袋,sù liào dài,plastic bag,"new-4, old-4",n,12101,3,3-char,这是塑料袋。,This is a plastic bag.
小学生,小學生,xiǎo xué shēng,primary school student; schoolchild; (fig.) beginner,"newest-1, new-1",n,12165,3,3-char,这是小学生。,This is a primary school student.
纪录片,紀錄片,jì lù piàn,newsreel; documentary (film or TV program),"newest-5, new-7",n,12167,3,3-char,这是纪录片。,This is a newsreel.
排行榜,排行榜,pái háng bǎng,the charts (of best-sellers); table of ranking,"newest-7, new-6",n,12201,3,3-char,这是排行榜。,This is a the charts.
紧接着,緊接著,jǐn jiē zhe,immediately afterwards; shortly after that,new-7,c,12224,3,3-char,我在学习“紧接着”。,I'm learning '紧接着'.
好奇心,好奇心,hào qí xīn,interest in sth; curiosity; inquisitive,new-7,n,12237,3,3-char,这是好奇心。,This is an interest in sth.
无条件,無條件,wú tiáo jiàn,unconditional,"newest-7, new-7","d, b",12248,3,3-char,他无条件来。,He comes unconditional.
一回事,一回事,yī huí shì,one and the same (thing); one thing (as distinct from another),new-7,,12272,3,3-char,我在学习“一回事”。,I'm learning '一回事'.
麦克风,麥克風,mài kè fēng,microphone (loanword),"newest-6, old-5",n,12308,3,3-char,这是麦克风。,This is a microphone.
知名度,知名度,zhī míng dù,reputation; profile; familiarity in the public consciousness,new-7,n,12332,3,3-char,这是知名度。,This is a reputation.
主人公,主人公,zhǔ rén gōng,hero (of a novel or film); main protagonist,"newest-7, new-7",n,12344,3,3-char,这是主人公。,This is a hero ; main protagonist.
吉祥物,吉祥物,jí xiáng wù,mascot,"newest-7, new-7",n,12347,3,3-char,这是吉祥物。,This is a mascot.
健身房,健身房,jiàn shēn fáng,gym; gymnasium,"newest-4, old-5",n,12463,3,3-char,这是健身房。,This is a gym.
嘉年华,嘉年華,jiā nián huá,carnival (loanword),"newest-7, new-7",n,12476,3,3-char,这是嘉年华。,This is a carnival.
劳动力,勞動力,láo dòng lì,labor force; manpower,"newest-6, new-7",n,12496,3,3-char,这是劳动力。,This is a labor force.
下一代,下一代,xià yī dài,the next generation,new-7,n,12563,3,3-char,这是下一代。,This is a the next generation.
口香糖,口香糖,kǒu xiāng táng,chewing gum,"newest-7, new-7",n,12699,3,3-char,这是口香糖。,This is a chewing gum.
中学生,中學生,zhōng xué shēng,middle-school student; high school student,"newest-1, new-1",n,12707,3,3-char,这是中学生。,This is a middle-school student.
跟不上,跟不上,gēn bu shàng,not able to keep up with,new-7,v,12757,3,3-char,我每天都跟不上。,I not able to keep up with every day.
代表团,代表團,dài biǎo tuán,delegation,new-3,n,12795,3,3-char,这是代表团。,This is a delegation.
水产品,水產品,shuǐ chǎn pǐn,"aquatic products (including fish, crabs, seaweed etc)",new-5,,12812,3,3-char,我在学习“水产品”。,I'm learning '水产品'.
一口气,一口氣,yī kǒu qì,one breath; in one breath; at a stretch,"newest-6, new-5","d, n",12928,3,3-char,他一口气来。,He comes one breath.
晒太阳,曬太陽,shài tài yáng,to be in the sun (getting warm or sunbathing etc); to put sth in the sun (e.g. to dry it),new-7,v,12972,3,3-char,我每天都晒太阳。,I to be in the sun every day.
星期日,星期日,Xīng qī rì,Sunday,"newest-1, new-1",t,12997,3,3-char,我们星期日见。,See you Sunday.
不得已,不得已,bù dé yǐ,to act against one's will; to have no alternative but to; to have to; to have no choice; must,"newest-7, new-7, old-6","a, v",13044,3,3-char,这个很不得已。,This is very to act against one's will.
博览会,博覽會,bó lǎn huì,exposition; international fair,"newest-6, new-5, old-6",n,13075,3,3-char,这是博览会。,This is an exposition.
停车位,停車位,tíng chē wèi,parking space; parking spot,new-7,n,13096,3,3-char,这是停车位。,This is a parking space.
看得见,看得見,kàn dé jiàn,can see; visible,new-6,v,13107,3,3-char,我每天都看得见。,I can see every day.
矿泉水,礦泉水,kuàng quán shuǐ,mineral water,"newest-3, new-4, old-5",n,13110,3,3-char,这是矿泉水。,This is a mineral water.
教科书,教科書,jiào kē shū,textbook,"newest-7, new-7",n,13123,3,3-char,这是教科书。,This is a textbook.
游戏机,遊戲機,yóu xì jī,video game machine; video game console,new-6,n,13177,3,3-char,这是游戏机。,This is a video game machine.
殖民地,殖民地,zhí mín dì,colony,old-6,n,13271,3,3-char,这是殖民地。,This is a colony.
进出口,進出口,jìn chū kǒu,import and export,new-7,vn,13284,3,3-char,我每天都进出口。,I import and export every day.
抑郁症,抑鬱症,yì yù zhèng,clinical depression,"newest-7, new-7",n,13332,3,3-char,这是抑郁症。,This is a clinical depression.
不耐烦,不耐煩,bù nài fán,impatient; to lose patience,"newest-6, new-5, old-5",a,13336,3,3-char,这个很不耐烦。,This is very impatient.
防火墙,防火牆,fáng huǒ qiáng,firewall,"newest-7, new-7",n,13340,3,3-char,这是防火墙。,This is a firewall.
狂欢节,狂歡節,kuáng huān jié,carnival,new-7,n,13356,3,3-char,这是狂欢节。,This is a carnival.
自尊心,自尊心,zì zūn xīn,self-respect; self-esteem; ego,new-7,n,13455,3,3-char,这是自尊心。,This is a self-respect.
到头来,到頭來,dào tóu lái,in the end; finally; as a result,"newest-7, new-7",d,13609,3,3-char,他到头来来。,He comes in the end.
说到底,說到底,shuō dào dǐ,in the final analysis; in the end,new-7,l,13616,3,3-char,我在学习“说到底”。,I'm learning '说到底'.
发电机,發電機,fā diàn jī,electricity generator; dynamo,new-7,n,13622,3,3-char,这是发电机。,This is an electricity generator.
夏令营,夏令營,xià lìng yíng,summer camp,"newest-6, new-7, old-6",n,13625,3,3-char,这是夏令营。,This is a summer camp.
连锁店,連鎖店,lián suǒ diàn,chain store,new-7,n,13645,3,3-char,这是连锁店。,This is a chain store.
世界级,世界級,shì jiè jí,world-class,new-7,b,13745,3,3-char,我在学习“世界级”。,I'm learning '世界级'.
年夜饭,年夜飯,nián yè fàn,New Year's Eve family dinner,"newest-5, new-7",,13754,3,3-char,我在学习“年夜饭”。,I'm learning '年夜饭'.
莫过于,莫過於,mò guò yú,nothing can surpass,new-7,v,13810,3,3-char,我每天都莫过于。,I nothing can surpass every day.
专卖店,專賣店,zhuān mài diàn,specialty store,new-7,n,13829,3,3-char,这是专卖店。,This is a specialty store.
三明治,三明治,sān míng zhì,sandwich (loanword),new-6,"n, nz",13871,3,3-char,这是三明治。,This is a sandwich.
这会儿,這會兒,zhè huì r,(coll.) now; this moment; also pr. [zhè huǐ r],new-7,r,13922,3,3-char,我在学习“这会儿”。,I'm learning '这会儿'.
暴风雨,暴風雨,bào fēng yǔ,rainstorm; storm; tempest,new-6,n,13978,3,3-char,这是暴风雨。,This is a rainstorm.
打官司,打官司,dǎ guān si,to file a lawsuit; to sue; to dispute,"new-6, old-6",v,14110,3,3-char,我每天都打官司。,I to file a lawsuit every day.
玩意儿,玩意兒,wán yì r,erhua variant of 玩意; toy; thing; trick,"newest-7, new-7, old-6",,14169,3,3-char,我在学习“玩意儿”。,I'm learning '玩意儿'.
公益性,公益性,gōngyì xìng,Public welfare,new-7,,14186,3,3-char,我在学习“公益性”。,I'm learning '公益性'.
突破口,突破口,tū pò kǒu,breach; gap; breakthrough point,"newest-7, new-7",n,14208,3,3-char,这是突破口。,This is a breach.
招待会,招待會,zhāo dài huì,a reception,new-7,n,14282,3,3-char,这是招待会。,This is an a reception.
慢慢来,慢慢來,màn màn lái,take your time; take it easy,new-7,v,14319,3,3-char,我每天都慢慢来。,I take your time every day.
通知书,通知書,tōng zhī shū,written notice,new-4,n,14400,3,3-char,这是通知书。,This is a written notice.
纪念碑,紀念碑,jì niàn bēi,monument,"newest-7, new-7",n,14440,3,3-char,这是纪念碑。,This is a monument.
有的是,有的是,yǒu de shì,have plenty of; there's no lack of,new-3,l,14445,3,3-char,我在学习“有的是”。,I'm learning '有的是'.
工作日,工作日,gōng zuò rì,workday; working day; weekday,"newest-3, new-5",n,14471,3,3-char,这是工作日。,This is a workday.
连续剧,連續劇,lián xù jù,serialized drama; dramatic series; show in parts,"new-3, old-5",n,14541,3,3-char,这是连续剧。,This is a serialized drama.
摄氏度,攝氏度,Shè shì dù,°C (degrees Celsius),"newest-4, new-7, old-6",q,14594,3,3-char,我在学习“摄氏度”。,I'm learning '摄氏度'.
大奖赛,大獎賽,dà jiǎng sài,grand prix,new-5,n,14623,3,3-char,这是大奖赛。,This is a grand prix.
大伙儿,大伙兒,dà huǒ r,erhua variant of 大伙; everybody; everyone,"newest-6, new-5, old-6",r,14629,3,3-char,我在学习“大伙儿”。,I'm learning '大伙儿'.
买不起,買不起,mǎi bu qǐ,cannot afford; can't afford buying,new-7,v,14630,3,3-char,我每天都买不起。,I cannot afford every day.
要不是,要不是,yào bu shì,if it were not for; but for,"newest-5, new-7",c,14653,3,3-char,我在学习“要不是”。,I'm learning '要不是'.
生活费,生活費,shēng huó fèi,cost of living; living expenses; alimony,new-6,n,14663,3,3-char,这是生活费。,This is a cost of living.
座谈会,座談會,zuò tán huì,conference; symposium; rap session,new-6,n,14733,3,3-char,这是座谈会。,This is a conference.
普通话,普通話,pǔ tōng huà,Mandarin (common language); Putonghua (common speech of the Chinese language); ordinary speech,"newest-4, new-2, old-3",n,14869,3,3-char,这是普通话。,This is a Mandarin.
下决心,下決心,xià jué xīn,to determine; to resolve,new-7,v,14875,3,3-char,我每天都下决心。,I to determine every day.
自然界,自然界,zì rán jiè,nature; the natural world,"newest-7, new-7",n,14883,3,3-char,这是自然界。,This is a nature.
相当于,相當於,xiāng dāng yú,equivalent to,new-7,v,14927,3,3-char,我每天都相当于。,I equivalent to every day.
入场券,入場券,rù chǎng quàn,admission ticket,"newest-7, new-7",n,14998,3,3-char,这是入场券。,This is an admission ticket.
更衣室,更衣室,gēng yī shì,change room; dressing room; locker room; (euphemism) toilet,"newest-7, new-7",n,15045,3,3-char,这是更衣室。,This is a change room; dressing room; locker room.
外交官,外交官,wài jiāo guān,diplomat,new-4,n,15122,3,3-char,这是外交官。,This is a diplomat.
看不起,看不起,kàn bu qǐ,to look down upon; to despise,"newest-6, new-4, old-5",v,15152,3,3-char,我每天都看不起。,I to look down upon every day.
展览会,展覽會,zhǎn lǎn huì,exhibition; show,new-7,n,15180,3,3-char,这是展览会。,This is an exhibition.
开发商,開發商,kāi fā shāng,"developer (of real estate, a commercial product etc)","newest-7, new-7",n,15238,3,3-char,这是开发商。,This is a developer.
清洁工,清潔工,qīng jié gōng,cleaner; janitor; garbage collector,new-6,n,15257,3,3-char,这是清洁工。,This is a cleaner.
培训班,培訓班,péi xùn bān,training class,new-4,n,15281,3,3-char,这是培训班。,This is a training class.
多媒体,多媒體,duō méi tǐ,multimedia,"newest-6, new-6",n,15310,3,3-char,这是多媒体。,This is a multimedia.
天主教,天主教,Tiān zhǔ jiào,Catholicism,new-7,nz,15354,3,3-char,这是天主教。,This is a Catholicism.
打印机,打印機,dǎ yìn jī,printer,"newest-4, new-6",n,15370,3,3-char,这是打印机。,This is a printer.
不起眼,不起眼,bù qǐ yǎn,unremarkable; nothing out of the ordinary,new-7,a,15413,3,3-char,这个很不起眼。,This is very unremarkable.
工作量,工作量,gōng zuò liàng,workload; volume of work,new-7,n,15414,3,3-char,这是工作量。,This is a workload.
好心人,好心人,hǎo xīn rén,kindhearted person; good Samaritan,new-7,n,15490,3,3-char,这是好心人。,This is a kindhearted person.
那会儿,那會兒,nà huì r,at that time (in the past or the future); also pr. [nèi huì r],new-2,r,15502,3,3-char,我在学习“那会儿”。,I'm learning '那会儿'.
农作物,農作物,nóng zuò wù,(farm) crops,new-7,n,15603,3,3-char,这是农作物。,This is a crops.
纪念馆,紀念館,jì niàn guǎn,memorial hall; commemorative museum,new-7,n,15677,3,3-char,这是纪念馆。,This is a memorial hall.
多元化,多元化,duō yuán huà,diversification; pluralism; to diversify,old-6,"vn, v",15847,3,3-char,我每天都多元化。,I diversification every day.
后遗症,後遺症,hòu yí zhèng,(medicine) sequelae; residual effects; (fig.) repercussions; aftermath,"newest-7, new-7",n,15852,3,3-char,这是后遗症。,This is a sequelae.
近年来,近年來,jìn nián lái,for the past few years,"newest-5, new-7",l,15924,3,3-char,我在学习“近年来”。,I'm learning '近年来'.
班主任,班主任,bān zhǔ rèn,teacher in charge of a class,old-5,n,15965,3,3-char,这是班主任。,This is a teacher in charge of a class.
动不动,動不動,dòng bu dòng,"(typically followed by 就) apt to (lose one's temper, catch a cold etc); at the drop of a hat","newest-7, new-7",d,15977,3,3-char,他动不动来。,He comes apt to.
安眠药,安眠藥,ān mián yào,sleeping pill,"newest-7, new-7",n,16000,3,3-char,这是安眠药。,This is a sleeping pill.
接班人,接班人,jiē bān rén,successor,"newest-7, new-7",n,16009,3,3-char,这是接班人。,This is a successor.
协议书,協議書,xié yì shū,contract; protocol,new-5,n,16037,3,3-char,这是协议书。,This is a contract.
禁不住,禁不住,jīn bu zhù,can't help it; can't bear it,"newest-7, new-7",v,16061,3,3-char,我每天都禁不住。,I can't help it every day.
出发点,出發點,chū fā diǎn,starting point; (fig.) basis; motive,"newest-7, new-7",n,16115,3,3-char,这是出发点。,This is a starting point.
平方米,平方米,píng fāng mǐ,square meter,"newest-6, new-6",q,16119,3,3-char,我在学习“平方米”。,I'm learning '平方米'.
方便面,方便麵,fāng biàn miàn,instant noodles,"newest-3, new-2",n,16225,3,3-char,这是方便面。,This is an instant noodles.
教育部,教育部,Jiào yù bù,Ministry of Education,new-6,nt,16284,3,3-char,这是教育部。,This is a Ministry of Education.
待会儿,待會兒,dāi huì r,in a moment; later; also pr. [dāi huǐ r] or [dāi hui r],new-6,d,16373,3,3-char,他待会儿来。,He comes in a moment.
转折点,轉折點,zhuǎn zhé diǎn,turning point; breaking point,"newest-7, new-7",n,16397,3,3-char,这是转折点。,This is a turning point.
一家人,一家人,yī jiā rén,household; the whole family,new-7,n,16475,3,3-char,这是一家人。,This is a household.
心里话,心裡話,xīn li huà,(to express one's) true feelings; what is on one's mind; secret mind,new-7,n,16506,3,3-char,这是心里话。,This is a true feelings.
少不了,少不了,shǎo bu liǎo,cannot do without; to be unavoidable; are bound to be many,"newest-7, new-7",v,16510,3,3-char,我每天都少不了。,I cannot do without every day.
瞧不起,瞧不起,qiáo bù qǐ,to look down upon; to hold in contempt,new-7,v,16626,3,3-char,我每天都瞧不起。,I to look down upon; to hold in contempt every day.
充电器,充電器,chōng diàn qì,battery charger,"new-4, old-5",n,16655,3,3-char,这是充电器。,This is a battery charger.
行李箱,行李箱,xíng li xiāng,suitcase; baggage compartment; overhead bin; (car) trunk; boot,old-3,n,16680,3,3-char,这是行李箱。,This is a suitcase.
高峰期,高峰期,gāo fēng qī,peak period; rush hour,new-7,n,16706,3,3-char,这是高峰期。,This is a peak period.
不客气,不客氣,bù kè qi,you're welcome; don't mention it; impolite; rude; blunt,"newest-1, new-1, old-1",,16723,3,3-char,我在学习“不客气”。,I'm learning '不客气'.
不景气,不景氣,bù jǐng qì,slack; in a slump,"newest-7, new-7",a,16728,3,3-char,这个很不景气。,This is very slack.
自信心,自信心,zì xìn xīn,self-confidence,new-7,n,16766,3,3-char,这是自信心。,This is a self-confidence.
演艺圈,演藝圈,yǎn yì quān,show business,new-7,n,16822,3,3-char,这是演艺圈。,This is a show business.
里程碑,里程碑,lǐ chéng bēi,milestone,"newest-7, new-7, old-6",n,16826,3,3-char,这是里程碑。,This is a milestone.
羽毛球,羽毛球,yǔ máo qiú,shuttlecock; badminton,"newest-3, new-5, old-4",n,16966,3,3-char,这是羽毛球。,This is a shuttlecock.
饮用水,飲用水,yǐn yòng shuǐ,drinking water; potable water,"newest-6, new-7",n,17077,3,3-char,这是饮用水。,This is a drinking water.
看得出,看得出,kàn de chū,can see; can tell,new-7,v,17140,3,3-char,我每天都看得出。,I can see every day.
一刹那,一剎那,yī chà nà,a moment; an instant; in a flash,new-7,t,17189,3,3-char,我们一刹那见。,See you a moment.
农产品,農產品,nóng chǎn pǐn,agricultural produce,"newest-6, new-5",n,17202,3,3-char,这是农产品。,This is an agricultural produce.
不见得,不見得,bù jiàn de,not necessarily; not likely,"newest-7, new-7, old-5",d,17256,3,3-char,他不见得来。,He comes not necessarily.
对得起,對得起,duì de qǐ,not to let sb down; to treat sb fairly; be worthy of,"newest-7, new-7",v,17263,3,3-char,我每天都对得起。,I not to let sb down every day.
水龙头,水龍頭,shuǐ lóng tóu,faucet; tap,"newest-7, new-7, old-6",n,17310,3,3-char,这是水龙头。,This is a faucet.
赶不上,趕不上,gǎn bù shàng,can't keep up with; can't catch up with; cannot overtake,new-6,,17330,3,3-char,我在学习“赶不上”。,I'm learning '赶不上'.
忘不了,忘不了,wàng bù liǎo,cannot forget,new-7,v,17402,3,3-char,我每天都忘不了。,I cannot forget every day.
交朋友,交朋友,jiāo péng you,to make friends; (dialect) to start an affair with sb,new-2,v,17456,3,3-char,我每天都交朋友。,I to make friends every day.
核电站,核電站,hé diàn zhàn,nuclear power plant,"newest-7, new-7",n,17531,3,3-char,这是核电站。,This is a nuclear power plant.
退休金,退休金,tuì xiū jīn,retirement pay; pension,new-7,n,17615,3,3-char,这是退休金。,This is a retirement pay.
清真寺,清真寺,qīng zhēn sì,mosque,new-7,n,17637,3,3-char,这是清真寺。,This is a mosque.
愈来愈,愈來愈,yù lái yù,more and more,new-7,d,17719,3,3-char,他愈来愈来。,He comes more and more.
演播室,演播室,yǎn bō shì,broadcasting studio,new-7,n,17796,3,3-char,这是演播室。,This is a broadcasting studio.
大幅度,大幅度,dà fú dù,by a wide margin; substantial,new-7,d,17856,3,3-char,他大幅度来。,He comes by a wide margin.
二手车,二手車,èr shǒu chē,second-hand car,new-7,n,17912,3,3-char,这是二手车。,This is a second-hand car.
工艺品,工藝品,gōng yì pǐn,handicraft article; handiwork,"new-5, old-6",n,18046,3,3-char,这是工艺品。,This is a handicraft article.
热水器,熱水器,rè shuǐ qì,water heater,"newest-6, new-6",n,18075,3,3-char,这是热水器。,This is a water heater.
下意识,下意識,xià yì shí,subconscious mind,"newest-7, new-7","n, v, d",18088,3,3-char,这是下意识。,This is a subconscious mind.
地下水,地下水,dì xià shuǐ,groundwater,"newest-7, new-7",n,18186,3,3-char,这是地下水。,This is a groundwater.
感染力,感染力,gǎn rǎn lì,"infectiousness (of a disease); appeal; power; impact (of an image, marketing message, performance etc)",new-7,n,18227,3,3-char,这是感染力。,This is an infectiousness.
真是的,真是的,zhēn shi de,Really! (interj. of annoyance or frustration),new-7,,18236,3,3-char,我在学习“真是的”。,I'm learning '真是的'.
女孩儿,女孩兒,nǚ hái r,erhua variant of 女孩; girl,"newest-2, new-1",,18271,3,3-char,我在学习“女孩儿”。,I'm learning '女孩儿'.
下功夫,下功夫,xià gōng fu,see 夫,"newest-6, new-7",v,18471,3,3-char,我每天都下功夫。,I see 夫 every day.
乘务员,乘務員,chéng wù yuán,"attendant on an airplane, train, boat etc","newest-5, old-6",n,18480,3,3-char,这是乘务员。,"This is an attendant on an airplane, train, boat etc."
世界观,世界觀,shì jiè guān,worldview; world outlook; Weltanschauung,old-6,n,18701,3,3-char,这是世界观。,This is a worldview.
积极性,積極性,jī jí xìng,zeal; initiative; enthusiasm; activity,new-3,n,18743,3,3-char,这是积极性。,This is a zeal.
机动车,機動車,jī dòng chē,motor vehicle,"newest-6, new-6",n,18763,3,3-char,这是机动车。,This is a motor vehicle.
仅次于,僅次於,jǐn cì yú,second only to ...; ranking behind only ...,new-7,v,18839,3,3-char,我每天都仅次于。,I second only to ...; ranking behind only ... every day.
五星级,五星級,wǔ xīng jí,five-star (hotel),new-7,b,18967,3,3-char,我在学习“五星级”。,I'm learning '五星级'.
原材料,原材料,yuán cái liào,raw and semifinished materials,"newest-6, new-7",n,18996,3,3-char,这是原材料。,This is a raw and semifinished materials.
俗话说,俗話說,sú huà shuō,as the proverb says; as they say...,new-7,v,19063,3,3-char,我每天都俗话说。,I as the proverb says every day.
节假日,節假日,jié jià rì,public holiday,"newest-4, new-6",t,19063,3,3-char,我们节假日见。,See you public holiday.
热气球,熱氣球,rè qì qiú,hot air balloon,new-7,n,19181,3,3-char,这是热气球。,This is a hot air balloon.
